MUNICIPIO,TOTAL,Carga,Misto,Passageiro,Tra̤̣o,Especial,Competi̤̣o,Cole̤̣o
SAO LEOPOLDO,119091,11801,5773,98422,977.0,2045,3.0,70.0
SAO LOURENCO DO SUL,26675,3411,676,21498,336.0,749,2.0,3.0
SAO LUIZ GONZAGA,22102,3181,669,16887,328.0,1032,0.0,5.0
SAO MARCOS,17283,3697,715,11491,723.0,621,4.0,32.0
SAO MARTINHO,4225,718,154,3155,72.0,126,0.0,0.0
SAO MARTINHO DA SERRA,1603,255,39,1198,16.0,95,0.0,0.0
SAO MIGUEL DAS MISSOES,4938,903,126,3513,82.0,314,0.0,0.0
SAO NICOLAU,2433,351,56,1920,7.0,99,0.0,0.0
SAO PAULO DAS MISSOES,3769,407,121,3089,28.0,124,0.0,0.0
SAO PEDRO DA SERRA,2736,415,88,2124,19.0,88,0.0,2.0
SAO PEDRO DAS MISSOES,1043,130,13,856,4.0,40,0.0,0.0
SAO PEDRO DO BUTIA,2220,380,70,1642,52.0,76,0.0,0.0
SAO PEDRO DO SUL,9658,1545,266,7309,82.0,454,0.0,2.0
SAO SEBASTIAO DO CAI,14728,2395,595,11178,228.0,327,1.0,4.0
SAO SEPE,13296,2182,379,9976,255.0,504,0.0,0.0
SAO VALENTIM,1928,316,57,1464,17.0,74,0.0,0.0
SAO VALENTIM DO SUL,1538,245,64,1137,8.0,84,0.0,0.0
SAO VALERIO DO SUL,805,120,18,636,4.0,27,0.0,0.0
SAO VENDELINO,1825,289,119,1330,14.0,72,1.0,0.0
SAO VICENTE DO SUL,4465,748,117,3357,36.0,207,0.0,0.0
SAPIRANGA,48555,4199,2184,41257,131.0,779,0.0,5.0
SAPUCAIA DO SUL,80216,8187,2911,67300,619.0,1196,0.0,3.0
SARANDI,14445,2311,617,10651,242.0,615,2.0,7.0
SEBERI,7807,1179,215,6063,102.0,248,0.0,0.0
SEDE NOVA,1790,286,61,1357,18.0,68,0.0,0.0
SEGREDO,3936,565,74,3151,13.0,131,0.0,2.0
SELBACH,4169,1019,202,2716,42.0,188,0.0,2.0
SENADOR SALGADO FILHO,1872,365,57,1363,6.0,81,0.0,0.0
SENTINELA DO SUL,3218,533,41,2530,35.0,79,0.0,0.0
SERAFINA CORREA,10898,1637,563,8028,230.0,432,2.0,6.0
SERIO,1217,155,19,983,11.0,49,0.0,0.0
SERTAO,4566,857,136,3218,90.0,265,0.0,0.0
SERTAO SANTANA,4195,610,84,3385,42.0,74,0.0,0.0
SETE DE SETEMBRO,1108,238,25,788,13.0,44,0.0,0.0
SEVERIANO DE ALMEIDA,2542,437,82,1889,33.0,100,0.0,1.0
SILVEIRA MARTINS,1586,367,50,1026,33.0,110,0.0,0.0
SINIMBU,4640,440,127,3965,16.0,88,3.0,1.0
SOBRADINHO,8700,1330,364,6615,92.0,294,1.0,4.0
SOLEDADE,17697,2536,825,13323,202.0,804,2.0,5.0
TABAI,3281,552,73,2538,33.0,85,0.0,0.0
TAPEJARA,17035,2757,854,12531,179.0,711,0.0,3.0
TAPERA,6941,1320,355,4853,87.0,325,0.0,1.0
TAPES,8357,1085,273,6732,74.0,192,0.0,1.0
TAQUARA,34231,3806,1599,28047,112.0,661,5.0,1.0
TAQUARI,17815,2017,488,14746,157.0,401,1.0,5.0
TAQUARUCU DO SUL,2064,275,48,1634,26.0,81,0.0,0.0
TAVARES,3015,507,102,2258,26.0,122,0.0,0.0
TENENTE PORTELA,7876,1017,321,6242,50.0,246,0.0,0.0
TERRA DE AREIA,6643,1171,213,4971,95.0,193,0.0,0.0
TEUTONIA,23013,2809,865,18483,258.0,573,1.0,24.0
TIO HUGO,2209,472,68,1507,60.0,102,0.0,0.0
TIRADENTES DO SUL,2968,329,91,2455,4.0,89,0.0,0.0
TOROPI,1831,236,26,1468,8.0,93,0.0,0.0
TORRES,21933,2631,1099,17550,150.0,495,1.0,7.0
TRAMANDAI,26441,3348,1152,21155,104.0,677,1.0,4.0
TRAVESSEIRO,1470,144,40,1231,22.0,33,0.0,0.0
TRES ARROIOS,2018,352,51,1508,21.0,85,0.0,1.0
TRES CACHOEIRAS,7891,1818,265,5090,492.0,225,0.0,1.0
TRES COROAS,14954,1463,643,12537,22.0,286,0.0,3.0
TRES DE MAIO,17768,2736,905,13196,334.0,597,0.0,0.0
TRES FORQUILHAS,1751,362,53,1258,34.0,44,0.0,0.0
TRES PALMEIRAS,2424,322,76,1919,19.0,88,0.0,0.0
TRES PASSOS,19067,2221,779,15301,159.0,604,0.0,3.0
TRINDADE DO SUL,3312,448,87,2595,23.0,159,0.0,0.0
TRIUNFO,14945,2405,411,11424,228.0,477,0.0,0.0
TUCUNDUVA,4149,761,225,2958,58.0,147,0.0,0.0
TUNAS,1920,240,41,1573,1.0,65,0.0,0.0
TUPANCI DO SUL,1019,182,33,757,2.0,45,0.0,0.0
TUPANCIRETA,11887,2196,570,8122,187.0,811,0.0,1.0
TUPANDI,3645,548,113,2757,124.0,103,0.0,0.0
TUPARENDI,6828,1229,230,5058,90.0,219,0.0,2.0
TURUCU,2260,369,49,1703,71.0,68,0.0,0.0
UBIRETAMA,1469,216,65,1139,1.0,48,0.0,0.0
UNIAO DA SERRA,888,158,26,650,16.0,38,0.0,0.0
UNISTALDA,1210,237,16,882,6.0,69,0.0,0.0
URUGUAIANA,65825,9561,2131,49356,2798.0,1970,0.0,9.0
VACARIA,41079,6627,2134,29308,968.0,2012,1.0,29.0
VALE DO SOL,5468,660,128,4514,17.0,148,0.0,1.0
VALE REAL,3763,668,175,2730,78.0,111,0.0,1.0
VALE VERDE,1764,248,39,1384,20.0,72,1.0,0.0
VANINI,1424,281,50,1005,21.0,67,0.0,0.0
VENANCIO AIRES,46915,5268,1782,38407,402.0,1037,8.0,11.0
VERA CRUZ,16809,2017,453,13825,101.0,402,4.0,7.0
VERANOPOLIS,17738,3227,924,12485,374.0,689,5.0,34.0
VESPASIANO CORREA,1418,281,35,1038,17.0,46,0.0,1.0
VIADUTOS,3121,500,100,2354,33.0,132,0.0,2.0
VIAMAO,124566,11518,5607,104126,401.0,2903,1.0,10.0
VICENTE DUTRA,2407,232,45,2061,4.0,65,0.0,0.0
VICTOR GRAEFF,2447,504,117,1684,10.0,132,0.0,0.0
VILA FLORES,2737,534,85,1989,29.0,100,0.0,0.0
VILA LANGARO,1455,338,41,971,10.0,95,0.0,0.0
VILA MARIA,3262,837,121,2027,100.0,177,0.0,0.0
VILA NOVA DO SUL,2443,429,37,1859,27.0,91,0.0,0.0
VISTA ALEGRE,1787,215,38,1471,8.0,55,0.0,0.0
VISTA ALEGRE DO PRATA,1067,168,43,800,8.0,47,1.0,0.0
VISTA GAUCHA,1668,231,46,1295,35.0,61,0.0,0.0
VITORIA DAS MISSOES,2066,379,29,1583,10.0,65,0.0,0.0
WESTFALIA,2283,357,81,1756,14.0,75,0.0,0.0
XANGRI-LA,9865,1452,518,7577,34.0,281,0.0,3.0
