UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAFORMA,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,OUTROS,TRATOR_ESTEIRA,TRATOR_RODAS,TRICICLO,UTILITARIO
RS,IMBE,17960,10817,0,380,34,1189,792,0,28,34,2544,818,86,1,897,42,1,47,0,25,7,218
RS,IMIGRANTE,2557,1366,0,127,22,284,132,0,2,15,387,70,18,0,68,16,0,4,0,8,0,38
RS,INDEPENDENCIA,5878,3264,0,384,50,740,192,0,1,14,854,104,60,0,88,64,0,5,0,2,0,56
RS,INHACORA,1581,907,0,86,16,177,44,0,0,7,280,8,11,0,20,15,0,0,0,2,0,8
RS,IPE,5325,2829,0,385,56,1007,213,0,0,34,457,44,33,1,103,61,0,15,0,11,1,75
RS,IPIRANGA DO SUL,1867,882,0,182,18,331,75,0,0,10,236,25,15,0,32,26,0,7,0,3,0,25
RS,IRAI,5561,2879,0,193,80,521,174,0,0,13,1183,192,28,0,126,133,1,0,0,1,1,36
RS,ITAARA,3826,2181,0,175,33,417,179,0,2,8,502,50,28,0,131,41,0,4,0,18,2,55
RS,ITACURUBI,1975,1028,0,96,15,238,51,0,4,16,429,15,12,0,40,23,0,1,0,2,0,5
RS,ITAPUCA,1564,928,0,96,3,225,33,0,0,12,221,10,11,0,13,5,0,2,0,0,0,5
RS,ITAQUI,23073,11478,0,791,545,2376,693,0,24,49,4418,865,141,1,679,736,4,16,0,18,11,228
RS,ITATI,1928,919,0,98,33,215,65,0,2,10,365,42,13,0,112,33,0,10,0,2,0,9
RS,ITATIBA DO SUL,2251,1192,0,90,15,276,76,0,0,14,505,16,18,0,16,19,0,2,0,0,0,12
RS,IVORA,1361,688,0,98,5,271,26,0,0,5,200,10,8,0,28,7,0,1,0,4,1,9
RS,IVOTI,18648,11394,0,643,109,1325,1121,0,12,55,1946,437,144,0,777,113,0,54,0,15,6,497
RS,JABOTICABA,2983,1467,0,122,16,336,69,0,2,6,744,77,36,0,46,33,0,1,0,0,0,28
RS,JACUIZINHO,1715,876,0,103,12,243,32,0,0,8,349,17,25,0,30,13,0,1,0,0,0,6
RS,JACUTINGA,3351,1924,0,176,26,544,112,0,0,13,351,56,13,0,48,41,0,4,0,1,0,42
RS,JAGUARAO,24271,14129,0,413,506,2203,1083,0,27,35,3272,758,85,0,764,627,5,45,0,13,6,300
RS,JAGUARI,8409,4266,0,396,33,1352,274,0,17,48,1472,106,53,0,285,43,0,6,0,4,1,53
RS,JAQUIRANA,2734,1610,0,206,39,413,98,0,2,19,181,10,24,0,63,28,0,9,0,5,1,26
RS,JARI,2476,1168,0,143,12,343,73,0,1,18,608,14,15,0,50,11,0,3,0,1,0,16
RS,JOIA,6252,3114,0,451,59,869,136,0,4,25,1233,35,65,0,117,84,0,6,0,3,0,51
RS,JULIO DE CASTILHOS,14861,7540,0,853,381,2318,606,0,12,49,1591,199,88,0,425,606,0,12,0,23,3,155
RS,LAGOA BONITA DO SUL,1880,1054,0,84,11,248,37,0,1,15,372,3,16,0,12,16,0,0,0,3,0,8
RS,LAGOA DOS TRES CANTOS,1612,759,0,137,8,298,87,0,0,5,190,27,10,0,63,11,0,3,0,0,0,14
RS,LAGOA VERMELHA,22568,14040,0,828,152,3088,982,0,18,77,2022,251,87,0,433,194,1,24,0,3,2,366
RS,LAGOAO,3685,1915,0,135,3,449,142,1,1,16,890,24,55,0,21,4,0,7,0,2,0,20
RS,LAJEADO,84800,45459,0,2616,1278,6403,4940,0,186,223,11265,5033,310,0,2740,1699,8,201,0,170,22,2247
RS,LAJEADO DO BUGRE,1506,930,0,42,10,95,15,0,1,12,333,26,18,0,12,8,0,0,0,1,0,3
RS,LAVRAS DO SUL,4472,2535,0,149,14,650,166,0,1,14,657,25,38,0,157,22,0,5,0,6,1,32
RS,LIBERATO SALZANO,3715,1920,0,214,31,406,67,0,1,13,847,80,30,0,26,52,0,2,0,1,1,24
RS,LINDOLFO COLLOR,4385,2777,0,157,22,261,192,0,2,13,595,98,17,0,165,29,0,7,0,8,0,42
RS,LINHA NOVA,1374,752,0,95,4,154,52,0,0,8,215,30,4,0,35,3,0,3,0,4,0,15
RS,MACAMBARA,1588,792,0,68,31,208,47,0,4,7,271,12,50,0,43,37,0,3,0,4,1,10
RS,MACHADINHO,4208,2337,0,181,37,563,136,0,2,18,641,95,27,0,54,67,0,5,0,1,0,44
RS,MAMPITUBA,840,337,0,33,1,73,26,0,1,4,331,11,9,0,9,1,0,1,0,0,0,3
RS,MANOEL VIANA,4927,2566,0,250,93,704,168,1,3,11,618,60,26,0,248,123,2,5,0,4,0,45
RS,MAQUINE,5564,2964,0,318,45,534,192,1,4,18,924,131,29,0,301,45,0,7,0,5,0,46
RS,MARATA,2371,1161,0,163,4,218,65,0,1,9,515,124,17,0,65,5,0,4,0,8,0,12
RS,MARAU,38234,22144,0,1413,632,4564,1838,1,17,137,3781,1086,220,0,801,759,4,81,0,50,3,703
RS,MARCELINO RAMOS,3310,1851,0,162,54,399,104,0,0,25,485,47,29,0,55,66,0,3,0,1,0,29
RS,MARIANA PIMENTEL,3211,1786,0,167,5,318,78,0,1,12,687,18,36,0,79,6,0,3,0,4,0,11
RS,MARIANO MORO,1728,992,0,101,43,233,36,0,0,12,189,6,6,0,31,67,0,0,0,0,0,12
RS,MARQUES DE SOUZA,3218,1588,0,158,22,325,112,0,5,13,642,104,19,0,101,44,0,12,0,31,0,42
RS,MATA,3348,1696,0,130,48,425,87,0,2,10,694,23,29,0,111,77,0,2,0,1,0,13
RS,MATO CASTELHANO,2194,990,0,182,26,386,88,0,1,17,348,14,19,0,57,35,0,3,0,2,0,26
RS,MATO LEITAO,4339,2134,0,204,108,323,174,0,1,15,823,165,19,0,148,157,0,11,0,11,1,45
RS,MATO QUEIMADO,1683,739,0,119,41,227,24,0,0,10,350,67,10,0,34,46,0,6,0,2,0,8
RS,MAXIMILIANO DE ALMEIDA,4391,2345,0,228,148,519,105,0,0,19,538,66,46,0,102,245,0,0,0,1,0,29
RS,MINAS DO LEAO,4900,3206,0,131,56,379,157,0,3,30,563,62,52,0,166,74,0,1,0,4,0,16
RS,MIRAGUAI,4144,2162,0,171,55,329,98,0,4,14,1021,104,34,0,51,80,0,3,0,1,0,17
RS,MONTAURI,1536,765,0,124,52,281,47,0,1,6,140,6,7,0,23,56,0,2,0,0,1,25
RS,MONTE ALEGRE DOS CAMPOS,1855,894,0,149,7,306,53,0,0,6,354,4,33,0,30,6,0,0,0,5,0,8
RS,MONTE BELO DO SUL,2381,1176,0,316,28,305,87,0,0,6,264,54,28,0,46,44,0,4,0,2,0,21
RS,MONTENEGRO,53751,30698,0,1681,414,3357,2112,0,69,156,8534,2814,196,0,2354,520,2,90,0,125,11,618
RS,MORMACO,2026,1134,0,128,15,297,69,0,0,12,275,16,16,0,33,18,0,3,0,2,0,8
RS,MORRINHOS DO SUL,2410,959,0,191,37,172,56,0,0,3,739,90,5,0,97,39,0,3,0,5,1,13
RS,MORRO REDONDO,6344,3045,0,294,44,519,144,0,7,7,1704,172,28,0,261,78,0,9,0,3,0,29
RS,MORRO REUTER,5103,2994,0,263,13,464,237,0,1,20,587,78,23,0,273,10,0,7,0,17,0,116
RS,MOSTARDAS,8455,4601,0,401,102,856,377,0,0,37,1070,73,103,0,474,147,0,18,0,27,2,167
RS,MUCUM,3850,2295,0,105,27,392,178,0,1,12,502,125,26,0,100,23,0,1,0,4,1,58
RS,MUITOS CAPOES,1911,858,0,160,41,415,56,0,0,9,205,10,19,0,65,54,0,2,0,1,0,16
RS,MULITERNO,1487,726,0,135,19,269,37,0,0,7,209,17,12,0,20,17,0,1,0,2,0,16
RS,NAO-ME-TOQUE,16305,8695,0,676,238,1977,847,0,2,48,2102,549,91,0,454,289,2,27,0,2,1,305
RS,NICOLAU VERGUEIRO,1657,814,0,150,19,267,61,0,0,5,226,7,20,0,40,22,0,8,0,1,0,17
RS,NONOAI,8351,5232,0,320,64,954,277,0,6,28,913,117,68,0,192,81,0,9,0,2,0,88
RS,NOVA ALVORADA,2983,1702,0,227,17,460,92,0,0,7,301,16,17,0,61,20,0,3,0,0,0,60
RS,NOVA ARACA,3864,2354,0,153,68,483,157,0,2,19,352,44,48,0,60,58,1,9,0,3,0,53
RS,NOVA BASSANO,9250,4974,0,549,199,1283,449,0,6,30,1007,135,74,0,147,203,0,19,0,9,1,165
RS,NOVA BOA VISTA,1996,999,0,130,15,259,77,0,1,14,424,25,6,0,11,22,0,0,0,1,0,12
RS,NOVA BRESCIA,2821,1474,0,184,26,314,101,0,0,10,494,59,16,0,54,39,0,5,0,2,0,43
RS,NOVA CANDELARIA,3045,1254,0,145,51,300,115,0,2,9,802,151,15,0,79,79,0,0,0,3,0,40
RS,NOVA ESPERANCA DO SUL,3591,1937,0,135,22,509,85,0,6,23,656,42,41,0,83,31,0,2,0,2,1,16
RS,NOVA HARTZ,14359,8881,0,217,42,858,660,1,49,38,2209,606,163,0,384,37,1,25,1,22,0,165
RS,NOVA PADUA,2191,1005,0,380,26,326,84,0,0,5,212,17,9,0,44,24,0,4,0,2,0,53
RS,NOVA PALMA,5129,2233,0,377,100,1045,143,0,0,18,852,43,38,0,92,122,0,0,0,14,3,49
RS,NOVA PETROPOLIS,19438,11981,0,601,183,1615,1263,0,7,44,1880,327,74,0,643,216,0,43,0,45,2,514
